myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Instruction_loop.ran,slides,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,taskGoresp.keys,taskGoresp.rt,pract_resp.keys,pract_resp.corr,pract_resp.rt,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,first_character,second_character,Cue,left_categ,centleft_categ,centright_categ,right_categ,corr_ans,trial_cond,switch_cond,cuedCharacter,corrCat,image,rep_resp.keys,rep_resp.rt,repeat_pract.thisRepN,repeat_pract.thisTrialN,repeat_pract.thisN,repeat_pract.thisIndex,repeat_pract.ran,task_resp.keys,task_resp.corr,task_resp.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,obj_category,rep_resp_2.keys,rep_resp_2.rt,repeat_task2.thisRepN,repeat_task2.thisTrialN,repeat_task2.thisN,repeat_task2.thisIndex,repeat_task2.ran
1,"[0,0,0]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,3.284745,1,0,4,4,4,1,stimuli/m1.jpg,stimuli/m4.jpg,1,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/book01b.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,1,0,2.099925,0,0,5,5,5,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Stationary & school supply.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,4,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/shoelace.jpg,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,0,1,0]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,1,1,1.75068,1,0,6,6,6,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,1,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/moccasin.jpg,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,0,1,0,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,1.36721,1,0,7,7,7,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,2,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/waders.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,1,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,4,0,2.234925,0,0,8,8,8,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Stationary & school supply.png,stimuli/Clothing.png,3,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/eraser.jpg,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,0,1,0,1,1,0]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,1,1,1.418745,1,0,9,9,9,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,1,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/fountainpen.jpg,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,0,1,0,1,1,0,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,1.70061,1,0,10,10,10,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/visor.jpg,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,0,1,0,1,1,0,1,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,0.983995,1,0,11,11,11,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Stationary & school supply.png,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/mitten04.jpg,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,0,1,0,1,1,0,1,1,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,1.549755,1,0,12,12,12,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/notebook03a.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,1,1,0,1,1,1,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,0,1.215665,1,0,13,13,13,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,stimuli/Stationary & school supply.png,1,0,0,stimuli/m4.jpg,Vehicle,stimuli/objects/locomotive.jpg,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,0,1,0,1,1,0,1,1,1,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,1.151435,1,0,14,14,14,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Gamestoy & entertainment.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Clothing.png,2,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/mechanicalpencil02.jpg,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,n,50.61617,0,0,0,0,1,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,1,1,0,1,1,1,1,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,2,1,1,stimuli/m5.jpg,,stimuli/objects/jumpingjack.jpg,,,,,,,,1,0,1.51036,0,0,0,0,1,Hand labour tool & accessory,,,,,,,
0,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,1,1,1,stimuli/m5.jpg,,stimuli/objects/boxcutter03a.jpg,,,,,,,,3,0,1.88353,0,1,1,1,1,Hand labour tool & accessory,,,,,,,
0,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,2,0,1,stimuli/m2.jpg,,stimuli/objects/huntingknife.jpg,,,,,,,,1,0,2.717245,0,2,2,2,1,Kitchen & utensil,,,,,,,
0,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,4,1,1,stimuli/m2.jpg,,stimuli/objects/footballhelmet.jpg,,,,,,,,3,0,1.88424,0,3,3,3,1,Outdoor activity & sport item,,,,,,,
1,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,2,1,1,stimuli/m5.jpg,,stimuli/objects/handrake01a.jpg,,,,,,,,2,1,3.167805,0,4,4,4,1,Hand labour tool & accessory,,,,,,,
1,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,1,1,1,stimuli/m2.jpg,,stimuli/objects/crosscountryski.jpg,,,,,,,,1,1,2.1496,0,5,5,5,1,Outdoor activity & sport item,,,,,,,
0,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,2,0,1,stimuli/m2.jpg,,stimuli/objects/television.jpg,,,,,,,,,0,,0,6,6,6,1,Electronic device & accessory,,,,,,,
1,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,2,1,1,stimuli/m2.jpg,,stimuli/objects/hose.jpg,,,,,,,,2,1,1.582865,0,7,7,7,1,Outdoor activity & sport item,,,,,,,
1,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,1,1,1,stimuli/m5.jpg,,stimuli/objects/solderingiron.jpg,,,,,,,,1,1,1.534015,0,8,8,8,1,Hand labour tool & accessory,,,,,,,
1,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,3,1,1,stimuli/m5.jpg,,stimuli/objects/gavel.jpg,,,,,,,,3,1,1.883765,0,9,9,9,1,Hand labour tool & accessory,,,,,,,
1,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,4,1,1,stimuli/m5.jpg,,stimuli/objects/boxcutter03a.jpg,,,,,,,,4,1,1.98387,0,10,10,10,1,Hand labour tool & accessory,,,,,,,
0,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,1,0,1,stimuli/m5.jpg,,stimuli/objects/walkietalkie.jpg,,,,,,,,2,0,1.816355,0,11,11,11,1,Electronic device & accessory,,,,,,,
0,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,1,0,1,stimuli/m2.jpg,,stimuli/objects/coffeemaker.jpg,,,,,,,,4,0,1.316765,0,12,12,12,1,Kitchen & utensil,,,,,,,
0,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,1,1,1,stimuli/m2.jpg,,stimuli/objects/bicycle.jpg,,,,,,,,3,0,1.267065,0,13,13,13,1,Outdoor activity & sport item,,,,,,,
1,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,2,1,1,stimuli/m2.jpg,,stimuli/objects/punchingbag.jpg,,,,,,,,2,1,2.216685,0,14,14,14,1,Outdoor activity & sport item,,,,,,,
0,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,2,0,1,stimuli/m5.jpg,,stimuli/objects/footballhelmet.jpg,,,,,,,,3,0,2.38387,0,15,15,15,1,Outdoor activity & sport item,,,,,,,
1,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,4,0,1,stimuli/m5.jpg,,stimuli/objects/swing.jpg,,,,,,,,4,1,2.051725,0,16,16,16,1,Outdoor activity & sport item,,,,,,,
0,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,1,1,1,stimuli/m5.jpg,,stimuli/objects/pitchfork.jpg,,,,,,,,3,0,2.284775,0,17,17,17,1,Hand labour tool & accessory,,,,,,,
0,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,2,1,1,stimuli/m2.jpg,,stimuli/objects/bicycle.jpg,,,,,,,,4,0,2.78406,0,18,18,18,1,Outdoor activity & sport item,,,,,,,
0,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,3,0,1,stimuli/m5.jpg,,stimuli/objects/freezer02.jpg,,,,,,,,2,0,1.31641,0,19,19,19,1,Kitchen & utensil,,,,,,,
0,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,2,0,1,stimuli/m2.jpg,,stimuli/objects/handrake01a.jpg,,,,,,,,4,0,1.050975,0,20,20,20,1,Hand labour tool & accessory,,,,,,,
0,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,3,1,1,stimuli/m5.jpg,,stimuli/objects/jumpingjack.jpg,,,,,,,,4,0,1.83357,0,21,21,21,1,Hand labour tool & accessory,,,,,,,
1,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,4,1,1,stimuli/m2.jpg,,stimuli/objects/bicycle.jpg,,,,,,,,4,1,2.617805,0,22,22,22,1,Outdoor activity & sport item,,,,,,,
0,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,1,1,1,stimuli/m5.jpg,,stimuli/objects/jumpingjack.jpg,,,,,,,,3,0,1.83523,0,23,23,23,1,Hand labour tool & accessory,,,,,,,
1,"[0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0]",,,,,,,,,,,,,15,2021-05-04_14h03.51.389,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,4,0,1,stimuli/m5.jpg,,stimuli/objects/jug.jpg,,,,,,,,4,1,1.350175,0,24,24,24,1,Kitchen & utensil,,,,,,,
