myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Instruction_loop.ran,slides,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,taskGoresp.keys,taskGoresp.rt,pract_resp.keys,pract_resp.corr,pract_resp.rt,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,first_character,second_character,Cue,left_categ,centleft_categ,centright_categ,right_categ,corr_ans,trial_cond,switch_cond,cuedCharacter,corrCat,image,rep_resp.keys,rep_resp.rt,repeat_pract.thisRepN,repeat_pract.thisTrialN,repeat_pract.thisN,repeat_pract.thisIndex,repeat_pract.ran,task_resp.keys,task_resp.corr,task_resp.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,obj_category,rep_resp_2.keys,rep_resp_2.rt,repeat_task2.thisRepN,repeat_task2.thisTrialN,repeat_task2.thisN,repeat_task2.thisIndex,repeat_task2.ran
1,"[0,1,1]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,0.96558,1,0,4,4,4,1,stimuli/m1.jpg,stimuli/m4.jpg,1,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/book01b.jpg,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,1,1,1]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,4,1,1.16896,1,0,5,5,5,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Stationary & school supply.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,4,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/shoelace.jpg,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,1,1,1,1]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,1,1,1.42299,1,0,6,6,6,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,1,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/moccasin.jpg,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,1,1,1,1,1]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,0.734275,1,0,7,7,7,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,2,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/waders.jpg,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,1,1,1,1,1,1]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,3,1,1.102395,1,0,8,8,8,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Stationary & school supply.png,stimuli/Clothing.png,3,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/eraser.jpg,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,1,1,1,1,1,1,1]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,1,1,1.122195,1,0,9,9,9,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,1,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/fountainpen.jpg,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,1,1,1,1,1,1,1,1]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,0.58304,1,0,10,10,10,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/visor.jpg,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,n,98.20733,0,0,0,0,1,,,,,,,,,,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,2,1,1,stimuli/m5.jpg,,stimuli/objects/jumpingjack.jpg,,,,,,,,3,0,1.610065,0,0,0,0,1,Hand labour tool & accessory,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,1,1,1,stimuli/m5.jpg,,stimuli/objects/boxcutter03a.jpg,,,,,,,,3,0,2.507765,0,1,1,1,1,Hand labour tool & accessory,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,0]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,2,0,1,stimuli/m2.jpg,,stimuli/objects/huntingknife.jpg,,,,,,,,2,1,2.649185,0,2,2,2,1,Kitchen & utensil,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,0]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,4,1,1,stimuli/m2.jpg,,stimuli/objects/footballhelmet.jpg,,,,,,,,4,1,2.45659,0,3,3,3,1,Outdoor activity & sport item,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,0,1]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,2,1,1,stimuli/m5.jpg,,stimuli/objects/handrake01a.jpg,,,,,,,,2,1,2.36577,0,4,4,4,1,Hand labour tool & accessory,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,1,1,1,stimuli/m2.jpg,,stimuli/objects/crosscountryski.jpg,,,,,,,,1,1,1.73072,0,5,5,5,1,Outdoor activity & sport item,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,2,0,1,stimuli/m2.jpg,,stimuli/objects/television.jpg,,,,,,,,3,0,3.119715,0,6,6,6,1,Electronic device & accessory,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,2,1,1,stimuli/m2.jpg,,stimuli/objects/hose.jpg,,,,,,,,3,0,1.815515,0,7,7,7,1,Outdoor activity & sport item,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,1,1,1,stimuli/m5.jpg,,stimuli/objects/solderingiron.jpg,,,,,,,,4,0,1.434125,0,8,8,8,1,Hand labour tool & accessory,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,3,1,1,stimuli/m5.jpg,,stimuli/objects/gavel.jpg,,,,,,,,4,0,3.68165,0,9,9,9,1,Hand labour tool & accessory,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,4,1,1,stimuli/m5.jpg,,stimuli/objects/boxcutter03a.jpg,,,,,,,,1,0,1.204255,0,10,10,10,1,Hand labour tool & accessory,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,1,0,1,stimuli/m5.jpg,,stimuli/objects/walkietalkie.jpg,,,,,,,,3,0,0.902895,0,11,11,11,1,Electronic device & accessory,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,1,0,1,stimuli/m2.jpg,,stimuli/objects/coffeemaker.jpg,,,,,,,,4,0,1.939305,0,12,12,12,1,Kitchen & utensil,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,1,1,1,stimuli/m2.jpg,,stimuli/objects/bicycle.jpg,,,,,,,,3,0,1.28494,0,13,13,13,1,Outdoor activity & sport item,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,2,1,1,stimuli/m2.jpg,,stimuli/objects/punchingbag.jpg,,,,,,,,2,1,1.53131,0,14,14,14,1,Outdoor activity & sport item,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,2,0,1,stimuli/m5.jpg,,stimuli/objects/footballhelmet.jpg,,,,,,,,3,0,1.65008,0,15,15,15,1,Outdoor activity & sport item,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,4,0,1,stimuli/m5.jpg,,stimuli/objects/swing.jpg,,,,,,,,4,1,0.686675,0,16,16,16,1,Outdoor activity & sport item,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,1,1,1,stimuli/m5.jpg,,stimuli/objects/pitchfork.jpg,,,,,,,,3,0,1.26834,0,17,17,17,1,Hand labour tool & accessory,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,2,1,1,stimuli/m2.jpg,,stimuli/objects/bicycle.jpg,,,,,,,,3,0,2.66879,0,18,18,18,1,Outdoor activity & sport item,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,3,0,1,stimuli/m5.jpg,,stimuli/objects/freezer02.jpg,,,,,,,,2,0,1.54691,0,19,19,19,1,Kitchen & utensil,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,2,0,1,stimuli/m2.jpg,,stimuli/objects/handrake01a.jpg,,,,,,,,1,0,1.38019,0,20,20,20,1,Hand labour tool & accessory,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,3,1,1,stimuli/m5.jpg,,stimuli/objects/jumpingjack.jpg,,,,,,,,1,0,2.60061,0,21,21,21,1,Hand labour tool & accessory,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,4,1,1,stimuli/m2.jpg,,stimuli/objects/bicycle.jpg,,,,,,,,3,0,2.20084,0,22,22,22,1,Outdoor activity & sport item,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,1,1,1,stimuli/m5.jpg,,stimuli/objects/jumpingjack.jpg,,,,,,,,2,0,0.979945,0,23,23,23,1,Hand labour tool & accessory,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,4,0,1,stimuli/m5.jpg,,stimuli/objects/jug.jpg,,,,,,,,3,0,1.75173,0,24,24,24,1,Kitchen & utensil,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,4,1,1,stimuli/m2.jpg,,stimuli/objects/racquetballracket.jpg,,,,,,,,4,1,2.45528,0,25,25,25,1,Outdoor activity & sport item,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,4,1,1,stimuli/m5.jpg,,stimuli/objects/jumpingjack.jpg,,,,,,,,1,0,1.38622,0,26,26,26,1,Hand labour tool & accessory,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,1,1,1,stimuli/m5.jpg,,stimuli/objects/hedgetrimmer.jpg,,,,,,,,1,1,2.953755,0,27,27,27,1,Hand labour tool & accessory,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1]",,,,,,,,,,,,,10,2021-04-28_12h14.47.115,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,4,1,1,stimuli/m5.jpg,,stimuli/objects/gavel.jpg,,,,,,,,4,1,1.747305,0,28,28,28,1,Hand labour tool & accessory,,,,,,,
